	TCGA-91-6828-01A	TCGA-86-6562-01A	TCGA-55-8094-01A	TCGA-67-3771-01A	TCGA-49-AARN-01A
ENSG00000135222.6	0	0	8	0	0
ENSG00000135226.18	4	1	14	0	0
ENSG00000135241.17	1023	2516	1491	1666	1021
ENSG00000135245.10	706	2625	461	799	270
ENSG00000135248.15	1	0	1	25	2
ENSG00000135249.8	306	941	771	513	304
ENSG00000135250.17	1409	3076	1517	1388	967
ENSG00000135253.15	33	57	361	246	250
ENSG00000135269.18	1629	7874	3096	3630	2785
ENSG00000135272.12	826	6006	1328	894	1751
ENSG00000135297.16	552	531	719	761	490
ENSG00000135298.14	20	17	1	11	7
ENSG00000135299.17	245	472	190	1445	305
ENSG00000135312.7	2	15	2	4	42
ENSG00000135314.12	33	49	59	130	95
ENSG00000135315.12	260	317	176	411	222
ENSG00000135316.19	5102	5064	5063	5209	2629
ENSG00000135317.13	1461	1764	2210	2291	1017
ENSG00000135318.12	3030	3121	2420	250	5489
ENSG00000135324.6	14	32	129	333	42
ENSG00000135333.14	327	103	342	31	7
ENSG00000135334.9	896	1440	1190	1545	755
ENSG00000135336.15	447	702	887	925	459
ENSG00000135338.14	330	281	144	636	387
ENSG00000135341.18	1370	1701	1580	1475	915
ENSG00000135346.9	0	0	19	14	0
ENSG00000135355.4	0	0	0	7	0
ENSG00000135362.14	195	364	47	2701	412
ENSG00000135363.12	301	334	113	2300	384
ENSG00000135365.16	1064	1471	1610	1693	1248
ENSG00000135372.9	1646	2330	3292	4682	2315
ENSG00000135373.13	3402	8827	2711	18833	5104
ENSG00000135374.11	189	39	291	3246	36
ENSG00000135378.4	1967	3164	884	1571	1271
ENSG00000135387.21	7531	10007	9639	18497	6422
ENSG00000135390.21	4004	9529	14658	7721	9076
ENSG00000135392.18	559	714	626	545	342
ENSG00000135404.12	18599	35948	56309	23735	24123
ENSG00000135406.14	0	0	15	5	7
ENSG00000135407.10	135	148	254	205	248
ENSG00000135409.11	1	13	34	4	5
ENSG00000135413.9	0	0	0	0	0
ENSG00000135414.10	442	1383	308	447	331
ENSG00000135423.13	8	8	28	11	9
ENSG00000135424.18	240	284	164	273	477
ENSG00000135426.16	125	119	14	85	91
ENSG00000135436.8	9	6	19	22	13
ENSG00000135437.10	12	8	32	13	32
ENSG00000135439.11	387	101	88	174	170
ENSG00000135441.7	62	124	256	127	176
ENSG00000135443.8	4	0	2	1	0
ENSG00000135446.17	1426	1984	1764	2038	1441
ENSG00000135447.17	27	1	8	35	49
ENSG00000135451.13	225	372	933	508	317
ENSG00000135452.10	1104	2063	1888	1134	1301
ENSG00000135454.14	6	62	81	389	56
ENSG00000135457.10	1443	1997	2051	1757	915
ENSG00000135469.14	143	175	382	134	256
ENSG00000135472.9	442	58	423	48	282
ENSG00000135473.15	1505	808	1656	604	768
ENSG00000135476.12	423	689	782	748	338
ENSG00000135477.11	24	8	173	9	24
ENSG00000135480.16	4768	13804	24373	3000	9955
ENSG00000135482.7	170	222	260	159	143
ENSG00000135486.19	10969	19111	19296	12828	17995
ENSG00000135502.19	0	0	0	1	0
ENSG00000135503.13	4141	1905	2342	1583	2501
ENSG00000135506.16	6429	9977	14290	9106	6566
ENSG00000135517.9	0	1	0	0	0
ENSG00000135519.8	6	6	44	18	38
ENSG00000135521.9	379	303	544	233	300
ENSG00000135525.18	1821	1895	2800	1371	823
ENSG00000135535.17	9413	13147	20358	13450	7536
ENSG00000135537.17	114	142	145	179	100
ENSG00000135540.11	591	711	797	1547	280
ENSG00000135541.21	409	529	751	444	347
ENSG00000135547.9	30	76	17	29	60
ENSG00000135549.15	178	65	1879	191	208
ENSG00000135569.4	0	0	0	0	0
ENSG00000135577.4	0	2	2	5	0
ENSG00000135587.9	158	393	554	281	291
ENSG00000135596.18	1234	1280	2318	1470	1869
ENSG00000135597.19	994	1272	1249	951	658
ENSG00000135604.10	362	358	68	320	87
ENSG00000135605.13	140	229	265	172	155
ENSG00000135617.4	187	623	687	549	469
ENSG00000135622.13	440	1134	357	720	619
ENSG00000135624.16	5287	6636	17811	5816	5920
ENSG00000135625.8	23	33	14	4	46
ENSG00000135631.17	963	2165	532	1220	1456
ENSG00000135632.12	727	1550	1482	971	1425
ENSG00000135636.14	1076	2704	424	933	1682
ENSG00000135637.14	186	315	389	305	367
ENSG00000135638.14	2	0	5	0	49
ENSG00000135643.5	850	296	727	2580	172
ENSG00000135655.16	1373	1790	1803	2185	999
ENSG00000135677.11	10508	14057	17594	11349	5248
ENSG00000135678.12	9282	5116	8529	9556	3863
ENSG00000135679.25	2169	3626	1855	4127	2177
ENSG00000135686.13	2594	1701	1739	1491	973
ENSG00000135697.10	97	22	61	158	149
ENSG00000135698.10	432	403	757	523	499
ENSG00000135702.14	0	0	28	0	3
ENSG00000135709.12	680	1377	801	942	692
ENSG00000135720.13	3922	4647	4280	2888	2261
ENSG00000135722.9	132	141	251	183	227
ENSG00000135723.14	821	1941	692	1141	4537
ENSG00000135736.6	162	370	40	306	386
ENSG00000135740.17	37	77	151	124	673
ENSG00000135744.8	710	558	1707	30	611
ENSG00000135747.11	0	3	8	6	1
ENSG00000135749.19	481	635	507	657	736
ENSG00000135750.15	1459	835	2647	2771	1617
ENSG00000135763.10	519	1184	641	781	461
ENSG00000135766.9	120	253	415	162	88
ENSG00000135773.13	136	127	1709	222	110
ENSG00000135775.14	771	2248	1270	1194	930
ENSG00000135776.5	881	2384	880	1139	622
ENSG00000135778.12	750	2263	1668	2108	1303
ENSG00000135801.10	1235	2187	1666	1366	966
ENSG00000135821.19	28776	93764	21267	36689	15034
ENSG00000135823.14	1754	4677	1863	1467	1733
ENSG00000135824.12	5	7	0	6	1
ENSG00000135828.11	465	1173	258	824	621
ENSG00000135829.17	5996	7973	7481	5850	5063
ENSG00000135835.12	40	93	91	186	171
ENSG00000135837.16	2609	3951	2413	2502	1745
ENSG00000135838.13	1055	1080	178	1299	287
ENSG00000135842.17	9115	8230	1197	2651	1883
ENSG00000135845.10	760	2360	2214	1361	1149
ENSG00000135862.6	7666	16489	12233	17084	3960
ENSG00000135870.12	1069	1966	977	1331	660
ENSG00000135898.10	9	3	8	14	42
ENSG00000135899.19	866	1451	1410	975	1816
ENSG00000135900.4	629	976	918	1146	654
ENSG00000135902.10	0	0	26	0	1
ENSG00000135903.20	0	0	12	13	13
ENSG00000135905.20	1187	848	173	664	479
ENSG00000135912.11	905	834	1002	2365	824
ENSG00000135913.11	496	393	307	524	160
ENSG00000135914.6	11	128	3	53	44
ENSG00000135916.16	2918	4959	12240	7306	5030
ENSG00000135917.16	51	74	22	428	72
ENSG00000135919.14	266	1307	222	1708	1328
ENSG00000135924.16	1610	3605	5726	4864	4856
ENSG00000135925.9	39	30	8	39	231
ENSG00000135926.15	4464	11261	11628	16935	5591
ENSG00000135929.9	1132	1648	2251	3285	1440
ENSG00000135930.14	1675	2217	4096	2040	1793
ENSG00000135931.18	657	1661	1014	504	1121
ENSG00000135932.11	3808	6806	3041	3030	3288
ENSG00000135940.7	1463	1948	3095	3752	2410
ENSG00000135945.10	1042	984	771	1665	983
ENSG00000135951.16	82	99	145	255	328
ENSG00000135953.11	521	1016	1083	1077	582
ENSG00000135956.9	3207	7154	3360	6026	3732
ENSG00000135960.10	20	89	0	57	138
ENSG00000135966.13	1168	1253	1354	1268	888
ENSG00000135968.21	1711	1931	1985	1455	1749
ENSG00000135972.9	198	330	577	472	382
ENSG00000135973.3	1	1	1	4	0
ENSG00000135974.10	526	707	875	1259	506
ENSG00000135976.20	96	46	47	97	113
ENSG00000135999.12	1375	1095	1288	2051	815
ENSG00000136002.20	47	299	1043	106	446
ENSG00000136003.16	1576	1938	2696	2627	1909
ENSG00000136010.14	335	442	1011	939	248
ENSG00000136011.15	70	37	29	36	13
ENSG00000136014.12	135	129	25	66	99
ENSG00000136021.19	2607	2478	2083	2845	1344
ENSG00000136026.14	4501	4507	19844	5244	2949
ENSG00000136040.9	1305	1760	267	1239	647
ENSG00000136044.12	1558	1281	2504	1148	804
ENSG00000136045.12	998	1241	1848	1847	980
ENSG00000136048.14	10889	2624	1096	2410	1231
ENSG00000136051.15	2105	1876	2788	2059	993
ENSG00000136052.9	945	768	1823	884	658
ENSG00000136059.14	139	126	172	1058	863
ENSG00000136068.15	13259	7974	9144	6493	6444
ENSG00000136098.17	245	178	469	551	204
ENSG00000136099.13	0	0	0	14	113
ENSG00000136100.14	1627	1533	931	2157	999
ENSG00000136104.21	680	874	721	1312	750
ENSG00000136108.15	620	879	681	1495	414
ENSG00000136110.13	0	1	1	5	1790
ENSG00000136111.14	867	2002	729	1236	583
ENSG00000136114.17	77	161	38	89	125
ENSG00000136122.18	77	346	162	278	115
ENSG00000136141.15	676	941	468	876	766
ENSG00000136143.16	873	1054	1035	1957	684
ENSG00000136144.12	868	1092	896	1731	965
ENSG00000136146.15	547	685	891	1322	671
ENSG00000136147.18	532	647	823	1020	1079
ENSG00000136149.6	52	82	145	81	204
ENSG00000136152.15	790	884	1243	2169	867
ENSG00000136153.20	3649	25368	12203	13237	8058
ENSG00000136155.17	247	10719	596	333	1684
ENSG00000136156.15	14432	17319	33486	22349	15478
ENSG00000136158.12	919	2081	1006	854	924
ENSG00000136159.4	269	434	852	1308	397
ENSG00000136160.17	611	747	364	395	215
ENSG00000136161.13	467	344	123	383	282
ENSG00000136167.15	7794	4251	644	14444	3974
ENSG00000136169.16	346	512	334	653	638
ENSG00000136193.17	2100	5228	2681	4094	1212
ENSG00000136197.13	3	8	19	7	4
ENSG00000136205.17	5050	8925	1310	12523	2215
ENSG00000136206.4	6	17	23	17	16
ENSG00000136213.10	783	1621	1075	1868	790
ENSG00000136231.14	120	626	1235	1167	20
ENSG00000136235.17	10373	14808	1562	26331	1686
ENSG00000136237.19	2548	3294	1136	1130	1222
ENSG00000136238.18	7028	22078	12334	6774	8881
ENSG00000136240.10	5301	19335	22964	12465	8507
ENSG00000136243.17	284	571	435	559	246
ENSG00000136244.12	226	187	41	65	66
ENSG00000136247.15	541	2390	558	1063	800
ENSG00000136250.12	726	281	34	642	135
ENSG00000136261.15	876	5085	3270	2712	1554
ENSG00000136267.14	0	8	13	3	3
ENSG00000136270.14	1140	2590	3064	2330	1938
ENSG00000136271.10	1176	2918	4035	2829	2348
ENSG00000136273.13	355	1270	612	867	369
ENSG00000136274.9	43	381	27	131	71
ENSG00000136275.10	0	1	0	1	0
ENSG00000136279.21	2602	8618	3574	3835	3731
ENSG00000136280.17	948	2863	2361	1285	1980
ENSG00000136286.16	764	610	123	605	1321
ENSG00000136295.15	3528	7028	4115	4778	3630
ENSG00000136297.15	0	0	0	1	0
ENSG00000136305.11	0	0	0	0	0
ENSG00000136315.4	1	0	0	0	0
ENSG00000136319.12	395	642	500	986	485
ENSG00000136327.7	8	74	1	3	11
ENSG00000136352.19	3611	6602	1518	3114	4893
ENSG00000136367.14	270	182	152	153	242
ENSG00000136371.11	14	16	23	13	23
ENSG00000136378.15	181	461	164	280	208
ENSG00000136379.12	1052	2109	3068	711	3354
ENSG00000136381.13	1906	1875	2115	2383	950
ENSG00000136383.7	185	1576	2428	4391	470
ENSG00000136404.16	112	78	21	78	19
ENSG00000136425.14	16	351	626	263	163
ENSG00000136436.15	3343	4427	5811	3388	3089
ENSG00000136444.10	504	1073	1993	1283	1317
ENSG00000136448.13	3019	4654	7148	4384	3099
ENSG00000136449.15	12	26	41	40	60
ENSG00000136450.13	1590	2081	2738	1923	1660
ENSG00000136451.9	2168	4234	1920	2140	1765
ENSG00000136457.10	19	46	22	33	153
ENSG00000136463.8	389	760	1261	596	605
ENSG00000136478.8	1723	1801	1677	1036	957
ENSG00000136485.15	6717	6695	5921	3539	3470
ENSG00000136487.18	0	0	13	0	0
ENSG00000136488.15	0	0	0	0	0
ENSG00000136490.9	534	718	271	976	1038
ENSG00000136492.9	147	410	330	599	178
ENSG00000136504.13	3333	1966	1951	1761	1600
ENSG00000136514.3	67	74	101	279	627
ENSG00000136518.17	1288	999	1366	2921	1206
ENSG00000136521.13	1361	1640	2513	4921	1782
ENSG00000136522.14	598	660	1492	2119	986
ENSG00000136527.18	3113	2915	4235	3874	3509
ENSG00000136531.18	13	8	12	345	33
ENSG00000136535.15	3	0	33	11	0
ENSG00000136536.15	2302	2726	2658	5971	1846
ENSG00000136541.15	14	24	595	37	15
ENSG00000136542.9	1341	2087	6793	848	2111
ENSG00000136546.16	518	746	97	491	221
ENSG00000136560.14	1098	1700	1402	2168	1397
ENSG00000136573.14	47	35	13	74	202
ENSG00000136574.18	0	3	0	0	442
ENSG00000136603.14	2606	4679	2674	5188	1888
ENSG00000136628.18	4740	9679	12282	7562	4640
ENSG00000136630.13	64	120	14	60	107
ENSG00000136631.15	1268	1846	2269	1856	1581
ENSG00000136634.7	34	25	3	20	12
ENSG00000136636.13	1679	2404	3517	1052	1299
ENSG00000136643.12	1070	1918	1642	1443	692
ENSG00000136682.15	248	402	320	393	286
ENSG00000136688.11	2	23	0	2	38
ENSG00000136689.19	319	834	85	420	619
ENSG00000136694.9	0	0	0	0	0
ENSG00000136695.15	22	1272	0	107	236
ENSG00000136696.11	7	2	1	6	1
ENSG00000136697.13	0	1	0	0	0
ENSG00000136698.10	0	0	7	0	10
ENSG00000136699.19	1430	1921	2795	3120	2163
ENSG00000136709.12	2236	2263	3158	3484	2835
ENSG00000136710.10	830	1793	1592	2596	1507
ENSG00000136715.19	909	1519	1578	1522	943
ENSG00000136717.15	1161	2085	1878	1216	2010
ENSG00000136718.10	975	1762	2852	2566	1582
ENSG00000136720.7	1234	1482	449	1794	1033
ENSG00000136731.13	4226	4401	5994	8816	2573
ENSG00000136732.16	364	681	89	605	344
ENSG00000136738.15	522	940	1604	736	789
ENSG00000136750.13	0	0	0	0	31
ENSG00000136754.18	2076	3126	2735	3804	1873
ENSG00000136758.19	4005	7016	6093	7347	4104
ENSG00000136770.11	557	1288	1839	1145	875
ENSG00000136783.10	519	610	864	573	473
ENSG00000136802.12	1960	5283	1435	2386	4296
ENSG00000136807.14	1346	2022	1819	1450	2466
ENSG00000136810.13	3100	4131	9191	10239	4327
ENSG00000136811.16	1100	1482	2524	1301	1262
ENSG00000136813.14	4028	4297	5344	3122	2658
ENSG00000136816.16	673	1562	1644	1339	835
ENSG00000136819.15	1135	2057	1551	1531	1356
ENSG00000136824.19	944	1196	963	966	498
ENSG00000136826.15	842	877	2728	2068	509
ENSG00000136827.12	1208	1631	1456	1156	1245
ENSG00000136828.19	651	667	167	426	576
ENSG00000136830.12	6532	21443	7445	9009	13683
ENSG00000136834.3	0	0	1	4	0
ENSG00000136839.1	0	0	0	0	0
ENSG00000136840.19	1116	753	1927	908	667
ENSG00000136842.14	211	56	193	610	78
ENSG00000136848.17	1646	3075	903	2661	3481
ENSG00000136854.24	7197	1632	4286	1997	2224
ENSG00000136856.18	473	713	591	588	583
ENSG00000136859.10	566	4462	360	1669	1326
ENSG00000136861.18	1310	2384	1805	2910	4555
ENSG00000136866.14	75	181	25	114	163
ENSG00000136867.11	22	7	2	16	6
ENSG00000136868.11	2285	3971	2827	2369	3085
ENSG00000136869.16	1445	869	126	1177	235
ENSG00000136870.10	972	859	236	1324	669
ENSG00000136872.20	21	15	22	5	263
ENSG00000136874.11	1310	1570	1064	997	1086
ENSG00000136875.13	997	1605	1439	1111	1087
ENSG00000136877.15	1119	1331	1111	1184	1771
ENSG00000136878.14	919	1195	764	710	1336
ENSG00000136881.12	16	7	20	9	56
ENSG00000136883.14	879	106	853	109	1267
ENSG00000136888.8	2716	4632	5378	5026	2618
ENSG00000136891.14	742	867	759	862	544
ENSG00000136895.19	142	288	81	93	110
ENSG00000136897.8	594	686	1016	1147	607
ENSG00000136908.18	1116	2443	3049	1743	1914
ENSG00000136918.8	0	21	2	6	65
ENSG00000136925.15	340	396	257	382	185
ENSG00000136928.7	26	74	4	3	456
ENSG00000136929.13	1	4	0	2	1
ENSG00000136930.13	2227	3265	4553	2965	2671
ENSG00000136931.10	0	246	0	3	2
ENSG00000136932.14	273	305	215	327	256
ENSG00000136933.17	280	705	795	590	620
ENSG00000136935.14	766	1140	1178	414	892
ENSG00000136936.11	231	385	320	287	370
ENSG00000136937.13	1372	1877	1273	1027	995
ENSG00000136938.9	4221	7089	3974	4728	4414
ENSG00000136939.1	0	0	2	0	0
ENSG00000136940.14	866	1249	722	1005	547
ENSG00000136942.15	4120	10604	17810	9569	12093
ENSG00000136943.11	42	384	1591	324	236
ENSG00000136944.19	397	21	0	1	88
ENSG00000136950.13	947	1886	2593	1316	1695
ENSG00000136960.13	2516	2477	2784	1789	1393
ENSG00000136982.6	261	206	438	341	131
ENSG00000136986.10	4273	2582	4809	4773	1987
ENSG00000136997.21	2104	1395	792	3763	1716
ENSG00000136999.5	99	229	296	129	108
ENSG00000137033.11	901	627	324	587	431
ENSG00000137038.8	426	727	512	785	825
ENSG00000137040.10	983	1089	302	754	832
ENSG00000137054.16	438	601	783	484	601
ENSG00000137055.15	959	1453	688	1639	972
ENSG00000137070.18	111	258	227	251	563
ENSG00000137073.23	1342	1527	2314	1624	1333
ENSG00000137074.20	652	974	1788	768	858
ENSG00000137075.18	2124	1883	1559	1532	1247
ENSG00000137076.21	15408	17793	10180	6842	9090
ENSG00000137077.8	444	1685	69	1549	1097
ENSG00000137078.9	90	73	14	139	109
ENSG00000137080.4	0	1	0	0	0
ENSG00000137090.12	0	1	0	5	2
ENSG00000137094.15	357	341	530	289	286
ENSG00000137098.14	14	10	37	27	105
ENSG00000137100.16	701	1417	1709	1081	1162
ENSG00000137101.13	217	187	68	419	115
ENSG00000137103.20	855	1537	792	501	974
ENSG00000137106.18	1698	2369	3347	1664	2265
ENSG00000137124.8	986	2001	733	1215	837
ENSG00000137133.11	0	10	8	3	9
ENSG00000137135.18	137	157	494	231	195
ENSG00000137142.5	232	317	278	386	52
ENSG00000137145.20	2061	2389	554	1137	890
ENSG00000137154.13	27411	48332	30062	42519	42317
ENSG00000137161.17	1924	2928	3204	3321	2532
ENSG00000137166.16	3839	5655	6829	1461	3738
ENSG00000137168.8	679	1057	1719	1095	911
ENSG00000137171.15	699	821	1542	734	1093
ENSG00000137177.20	1927	2403	545	1355	1770
ENSG00000137185.13	458	436	408	382	437
ENSG00000137193.14	1280	2483	667	2580	1542
ENSG00000137198.10	1033	211	524	187	435
ENSG00000137200.13	1547	2036	2905	2262	2249
ENSG00000137203.15	292	351	280	246	406
ENSG00000137204.15	0	0	2	0	1
ENSG00000137207.12	3025	7872	11520	4210	4601
ENSG00000137210.14	792	1355	2567	1483	1022
ENSG00000137216.19	1881	2635	3663	3062	3406
ENSG00000137218.10	262	183	359	216	284
ENSG00000137221.14	809	951	1828	1153	1215
ENSG00000137225.13	4	7	3	7	4
ENSG00000137251.16	0	0	0	0	45
ENSG00000137252.9	0	0	0	1	9
ENSG00000137261.14	5	318	93	3593	76
ENSG00000137265.15	335	240	16	481	502
ENSG00000137266.15	2173	1881	1292	2618	770
ENSG00000137267.6	591	754	934	899	610
ENSG00000137269.15	409	948	1186	703	680
ENSG00000137270.11	3	1	6	9	8
ENSG00000137273.6	83	214	46	88	1449
ENSG00000137274.13	442	501	647	451	448
ENSG00000137275.15	1279	1942	1653	1587	1412
ENSG00000137285.10	1262	150	1703	840	120
ENSG00000137288.10	667	1043	3114	1062	1172
ENSG00000137309.20	3439	4930	9202	10126	6088
ENSG00000137310.12	465	1084	934	601	934
ENSG00000137312.15	4091	6692	4533	6730	7487
ENSG00000137331.12	981	1124	2876	226	1053
ENSG00000137337.15	1306	1190	2498	1011	1021
ENSG00000137338.5	210	99	134	187	107
ENSG00000137343.18	416	363	894	371	732
ENSG00000137364.5	698	1862	1383	1344	1026
ENSG00000137392.10	0	0	0	2	0
ENSG00000137393.10	956	2849	185	2332	586
ENSG00000137404.14	154	717	617	330	530
ENSG00000137409.19	3672	7441	6915	7513	4996
ENSG00000137411.19	5	1	12	9	12
ENSG00000137413.16	1291	1174	924	1457	990
ENSG00000137414.6	1640	2178	2643	1838	1312
ENSG00000137434.11	59	10	136	12	13
ENSG00000137440.5	5	34	16	179	3035
ENSG00000137441.8	35	36	30	5	8
ENSG00000137449.17	540	1209	629	901	540
ENSG00000137460.9	994	1512	888	214	866
ENSG00000137462.9	1567	1515	106	1076	2284
ENSG00000137463.5	2	17	5	7	4
ENSG00000137473.18	2	9	0	4	35
ENSG00000137474.22	749	463	509	1183	236
ENSG00000137478.15	1110	1710	667	1208	1252
ENSG00000137486.17	2339	2382	1587	2824	1811
ENSG00000137491.15	6296	3824	2005	4012	879
ENSG00000137492.8	1595	1445	1114	2106	1077
ENSG00000137494.14	190	598	385	287	475
ENSG00000137496.18	710	401	314	1234	597
ENSG00000137497.18	5880	6287	7154	5193	7133
ENSG00000137500.9	519	1355	839	1398	893
ENSG00000137501.17	1524	4469	1259	1356	1784
ENSG00000137502.10	672	591	397	621	345
ENSG00000137504.14	2206	2178	2073	2471	1873
ENSG00000137507.11	1512	1899	530	886	1076
ENSG00000137509.11	2611	3311	4253	3982	2084
ENSG00000137513.10	595	796	793	501	336
ENSG00000137522.18	555	965	1220	984	1025
ENSG00000137547.9	817	1370	5926	2148	1186
ENSG00000137558.9	31	311	210	154	33
ENSG00000137561.5	1	3	17	14	3
ENSG00000137563.13	134	418	3910	1881	301
ENSG00000137571.11	96	323	268	323	166
ENSG00000137573.14	1266	22528	335	9019	3274
ENSG00000137574.11	681	946	1581	1220	687
ENSG00000137575.12	12093	9448	8708	8042	3635
ENSG00000137601.17	332	533	450	276	380
ENSG00000137628.17	1039	1630	4263	482	2936
ENSG00000137634.10	2	5	1	6	10
ENSG00000137642.13	11432	4997	2185	17441	3425
ENSG00000137648.19	4305	3446	36	7136	5576
ENSG00000137656.12	532	755	632	822	617
ENSG00000137672.13	1365	4466	1000	934	572
ENSG00000137673.9	247	2851	75	3451	5284
ENSG00000137674.4	0	0	0	3	1
ENSG00000137675.5	0	0	0	0	0
ENSG00000137691.13	80	109	92	199	113
ENSG00000137692.12	508	865	469	1062	632
ENSG00000137693.14	2831	6111	1763	4471	3655
ENSG00000137699.17	3	18	9	90	924
ENSG00000137700.18	722	892	1123	993	1057
ENSG00000137707.13	0	2	1	3	2
ENSG00000137709.10	166	276	23	582	599
ENSG00000137710.17	3489	4271	3228	3473	1484
ENSG00000137713.16	973	1719	2092	1720	1076
ENSG00000137714.3	535	768	873	685	653
ENSG00000137720.8	266	474	456	490	599
ENSG00000137726.17	96	256	34	170	134
ENSG00000137727.12	87	586	7	94	1184
ENSG00000137731.14	5	5	2	12	17
ENSG00000137745.12	81	2504	126	9	5700
ENSG00000137747.16	790	1995	14	2269	570
ENSG00000137752.24	652	586	137	613	979
ENSG00000137757.11	26	19	5	1	11
ENSG00000137760.15	207	421	136	347	672
ENSG00000137764.20	265	523	246	492	393
ENSG00000137766.17	34	3	11	7	5
ENSG00000137767.14	615	1130	898	1257	1465
ENSG00000137770.14	596	1146	833	1068	702
ENSG00000137776.17	2640	2474	3444	2789	2225
ENSG00000137801.11	10828	21613	1400	11907	4368
ENSG00000137802.14	211	465	169	353	337
ENSG00000137804.14	1	2	4	3	2
ENSG00000137806.10	158	364	453	250	459
ENSG00000137807.16	381	496	680	592	182
ENSG00000137808.12	0	0	0	0	0
ENSG00000137809.17	323	7087	84	1558	857
ENSG00000137812.20	186	350	309	264	211
ENSG00000137814.12	256	634	588	587	404
ENSG00000137815.14	1189	2518	2199	1766	1437
ENSG00000137817.17	982	1079	96	1480	1690
ENSG00000137818.12	16859	31281	34132	38486	35501
ENSG00000137819.14	78	197	386	180	134
ENSG00000137821.12	60	78	92	351	86
ENSG00000137822.13	172	363	390	199	329
ENSG00000137824.16	772	1765	1121	1284	1180
ENSG00000137825.11	4	118	205	19	441
ENSG00000137831.15	1170	2147	1741	1536	1099
ENSG00000137834.15	629	223	348	347	370
ENSG00000137841.12	900	548	437	738	1001
ENSG00000137842.7	432	899	2559	1243	1213
ENSG00000137843.12	148	1309	424	370	581
ENSG00000137845.15	4092	4943	4246	4835	2198
ENSG00000137857.17	675	504	349	409	533
ENSG00000137860.12	259	1	2130	193	10
ENSG00000137868.19	46	127	10	269	363
ENSG00000137869.15	14	6	27	35	2
ENSG00000137871.20	398	346	477	670	562
ENSG00000137872.17	63	481	16	52	66
ENSG00000137875.4	7	11	35	173	1
ENSG00000137876.11	1372	2041	2952	3951	2058
ENSG00000137877.10	77	67	79	131	331
ENSG00000137878.17	32	79	195	31	67
ENSG00000137880.6	2	13	11	5	11
ENSG00000137936.18	221	426	1036	445	472
ENSG00000137941.17	255	150	801	1603	120
ENSG00000137942.17	3625	3274	4721	2662	2582
ENSG00000137944.18	428	617	737	363	729
ENSG00000137947.12	561	640	1616	863	884
ENSG00000137948.18	1	0	5	644	2
ENSG00000137955.16	1058	787	3742	1166	2033
ENSG00000137959.16	240	1075	867	541	7002
ENSG00000137960.6	38	66	235	172	134
ENSG00000137962.13	1271	2634	1695	834	1020
ENSG00000137965.11	261	1082	1016	508	4493
ENSG00000137968.16	589	2	1204	380	143
ENSG00000137970.7	185	90	459	99	191
ENSG00000137975.8	3	27	8	1	28
ENSG00000137976.7	12	8	5	11	7
ENSG00000137992.14	786	1139	1388	774	683
ENSG00000137996.13	610	1034	2140	1120	832
ENSG00000138002.16	460	1357	1028	1040	1735
ENSG00000138018.18	1964	2094	4011	5528	1130
ENSG00000138028.16	10	197	1687	326	211
ENSG00000138029.14	3019	5331	5251	4903	2505
ENSG00000138030.13	56	143	54	192	131
ENSG00000138031.14	503	1070	246	548	462
ENSG00000138032.21	812	1084	1233	831	664
ENSG00000138035.15	933	1407	2872	1909	1269
ENSG00000138036.18	207	520	1348	501	656
ENSG00000138039.15	0	0	6	1	21
ENSG00000138050.15	273	351	641	426	442
ENSG00000138061.12	1615	4210	530	2314	1373
ENSG00000138068.10	0	0	0	0	0
ENSG00000138069.18	4378	9234	9243	7832	4882
ENSG00000138071.14	10279	19213	11624	11526	7147
ENSG00000138073.14	1304	2587	3961	2789	2381
ENSG00000138074.15	769	1355	1840	1372	1256
ENSG00000138075.14	0	2	1	3	6
ENSG00000138078.16	2112	2092	2368	1840	1692
ENSG00000138079.14	0	1	4	0	3
ENSG00000138080.14	1773	5216	313	2718	1433
ENSG00000138081.21	1049	1172	879	879	649
ENSG00000138083.5	0	2	0	0	8
ENSG00000138085.17	1945	4011	12126	2969	2958
ENSG00000138092.11	210	338	550	431	217
ENSG00000138095.19	5264	5609	10262	6380	3934
ENSG00000138100.14	34	5	152	194	194
ENSG00000138101.19	437	743	639	366	473
ENSG00000138107.13	1903	4220	4028	2796	3837
ENSG00000138109.11	2	3	51	4	30
ENSG00000138111.14	277	429	964	537	462
ENSG00000138115.14	4	25	17	74	4
ENSG00000138119.17	4250	14134	1282	6891	7444
ENSG00000138131.4	220	538	65	1096	244
ENSG00000138134.12	219	220	293	208	275
ENSG00000138135.7	205	752	43	395	75
ENSG00000138136.6	4	7	0	1	5
ENSG00000138138.13	1577	1922	2078	1840	1429
ENSG00000138152.10	3	24	440	59	55
ENSG00000138160.7	598	907	1005	1017	472
ENSG00000138161.14	0	0	2	1	2
ENSG00000138162.19	2197	2413	5639	5515	2158
ENSG00000138166.6	770	1091	10952	559	1224
ENSG00000138172.11	403	645	288	386	360
ENSG00000138175.9	395	1301	1008	1147	828
ENSG00000138180.16	407	786	828	911	354
ENSG00000138182.15	321	565	568	592	258
ENSG00000138185.20	828	1090	371	1210	912
ENSG00000138190.17	702	1030	941	1059	649
ENSG00000138193.16	411	1496	468	549	600
ENSG00000138207.14	104	111	1012	19	207
ENSG00000138231.13	384	474	288	471	517
ENSG00000138246.17	2681	1688	1315	1956	1521
ENSG00000138271.6	0	0	0	0	12
